# of SR,DESCRIPTION,DATETIMEINIT,DATETIMECLOSED,STATUS,PROBADDRESS,SRX,SRY
15848 ,Pick up dead animal(s), 12/03/2013, 12/03/2013,CLOSED,911 W JOHN ST,"1,005,067.44","1,253,551.44"
15849 ,Pick up dead animal(s), 12/03/2013, 12/03/2013,CLOSED,S PROSPECT AVE & W DANIEL ST,"1,005,388.90","1,253,298.30"
15850 ,Barricade set up for misc. issues, 12/03/2013, 12/03/2013,CLOSED,4508 DOVERBROOK DR,"987,796.10","1,246,852.08"
15851 ,Pothole repair, 12/03/2013, 12/10/2013,CLOSED,1010 West Springfield Avenue,"1,004,425.25","1,255,080.87"
15853 ,Sweeping of street, 12/03/2013, 12/04/2013,CLOSED,600 W WASHINGTON ST,"1,007,043.00","1,257,722.41"
15854 ,Request to repair a streetlight, 12/03/2013, 12/04/2013,CLOSED,N FOURTH ST & E BRADLEY AVE,"1,012,076.30","1,260,286.20"
15855 ,Pick up miscellaneous debris, 12/03/2013, 12/05/2013,CLOSED,400 E CHURCH ST,"1,012,108.68","1,257,046.80"
15856 ,Miscellaneous street problem, 12/03/2013, 12/06/2013,CLOSED,1600 INDUSTRIAL PARK DR,"1,012,108.68","1,257,046.80"
15857 ,Repair to a streetlight needed, 12/03/2013, 12/11/2013,CLOSED,105 South Victor Street,"1,000,559.03","1,256,136.12"
15858 ,Repair to a streetlight needed, 12/03/2013, 12/10/2013,CLOSED,602-606 West Church Street,"1,006,957.93","1,257,007.71"
15859 ,Problem-solving or troubleshooting for City, 12/04/2013, 12/04/2013,CLOSED,82 E UNIVERSITY AVE,"1,010,563.21","1,256,413.35"
15860 ,Sweeping of street, 12/04/2013, 12/05/2013,CLOSED,1711 GENTRY SQ LN,"1,000,327.48","1,247,737.49"
15861 ,Pick up miscellaneous debris, 12/04/2013, 12/05/2013,CLOSED,MAYFAIR RD & WEATHERVANE DR,"1,002,159.80","1,247,486.30"
15862 ,Pick up miscellaneous debris, 12/04/2013, 12/05/2013,CLOSED,1900 MAYFAIR RD,"1,002,240.67","1,247,177.45"
15863 ,Sewer odor, 12/03/2013, 12/04/2013,CLOSED,924 N THIRD ST,"1,011,802.37","1,259,688.31"
15864 ,Miscellaneous sewer call, 12/03/2013, 12/04/2013,CLOSED,600 S SIXTH ST,"1,013,057.35","1,254,530.44"
15865 ,Sweeping of street, 12/04/2013, 12/05/2013,CLOSED,300 FREMONT ST,"1,009,562.47","1,256,919.90"
15866 ,Pothole repair, 12/04/2013, 12/10/2013,CLOSED,AVONDALE AVE & S ELM BLVD,"1,007,414.70","1,251,537.50"
15867 ,Sweeping of street, 12/04/2013, 12/05/2013,CLOSED,500 S WILLIS AVE,"1,004,737.24","1,254,596.54"
15868 ,Pick up dead animal(s), 12/04/2013, 12/05/2013,CLOSED,604 N MCKINLEY AVE,"1,004,082.27","1,258,242.97"
15869 ,Pick up dead animal(s), 12/04/2013, 12/05/2013,CLOSED,1409 PAULA DR,"1,001,964.75","1,262,504.25"
15870 ,Sinkhole repair, 12/04/2013, 12/27/2013,CLOSED,1501 MAYWOOD DR,"1,001,993.61","1,251,162.73"
15871 ,Manhole cover missing, 12/04/2013, 12/05/2013,CLOSED,1505 JOANNE LN,"1,001,630.86","1,262,332.80"
15872 ,Pothole repair, 12/04/2013, 12/10/2013,CLOSED,1800 SCOTTSDALE DR,"996,969.65","1,248,688.21"
15873 ,Asphalt repair for sidewalk tripper, 12/04/2013, 12/10/2013,CLOSED,Kirby & Neil (NE Far Side),"1,009,201.76","1,249,974.13"
15874 ,Pick up furniture, 12/05/2013, 12/07/2013,CLOSED,N Prospect Ave & W Columbia Ave,"1,005,342.60","1,258,096.80"
15875 ,Sweeping of street, 12/05/2013, 12/05/2013,CLOSED,307 S RANDOLPH ST,"1,008,710.27","1,255,503.83"
15876 ,Signal not cycling properly, 12/04/2013, 12/05/2013,CLOSED,S FIRST ST & E SPRINGFIELD AVE,"1,010,713.50","1,254,952.10"
15877 ,Sweeping of street, 12/05/2013, 12/05/2013,CLOSED,5 FLORA CT,"1,002,830.27","1,255,895.12"
15878 ,Request to repair a burnt out streetlight lamp, 12/05/2013, 12/06/2013,CLOSED,1104 N WALNUT ST,"1,010,116.49","1,259,961.91"
15879 ,Sweeping of street, 12/05/2013, 12/05/2013,CLOSED,700 ARLINGTON CT,"1,006,420.81","1,254,352.25"
15880 ,Sewer odor, 12/05/2013, 12/07/2013,CLOSED,51 East Chester Street,"1,010,168.38","1,256,194.29"
15883 ,Miscellaneous street problem, 12/05/2013, 12/06/2013,CLOSED,801 DODDS DR,"1,006,008.98","1,249,764.72"
15884 ,Pothole repair, 12/06/2013, 12/10/2013,CLOSED,1401-1429 Windsor Road,"1,002,309.22","1,244,393.46"
15885 ,Pick up abandoned bicycle(s), 12/06/2013, 12/07/2013,CLOSED,613 E BRADLEY AVE,"1,013,426.27","1,260,297.25"
15886 ,Pick up abandoned bicycle(s), 12/06/2013, 12/07/2013,CLOSED,1304 W SPRINGFIELD AVE,"1,002,583.11","1,255,073.90"
15887 ,Pick up abandoned bicycle(s), 12/06/2013, 12/07/2013,CLOSED,509 S FOURTH ST,"1,012,060.25","1,254,609.62"
15888 ,Sewer backup, 12/06/2013, 12/07/2013,CLOSED,2410 N PROSPECT AVE,"1,005,478.83","1,266,852.51"
15889 ,Request to repair a burnt out streetlight lamp, 12/06/2013, 12/10/2013,CLOSED,10 LITCHFIELD LN,"1,005,550.28","1,247,469.88"
15890 ,Pothole repair, 12/06/2013, 12/10/2013,CLOSED,313-399 South New Street,"1,006,362.40","1,254,968.23"
15891 ,Pothole repair, 12/07/2013, 12/10/2013,CLOSED,113 West Stanage Avenue,"1,009,003.28","1,252,108.41"
15892 ,Request to repair or replace a stop sign, 12/07/2013, 12/10/2013,CLOSED,N VICTOR ST & W CHURCH ST,"1,000,588.30","1,257,046.50"
15893 ,Misc. asphalt request, 12/08/2013, 12/10/2013,CLOSED,800 W BRADLEY AVE,"1,006,169.57","1,260,266.07"
15894 ,Sewer backup, 12/08/2013, 12/09/2013,CLOSED,119 N WALNUT ST,"1,009,651.62","1,256,565.07"
15895 ,Manhole cover missing, 12/08/2013, 12/09/2013,CLOSED,408 S NEIL ST,"1,009,476.16","1,254,682.27"
15896 ,Slick street, 12/08/2013, 12/08/2013,CLOSED,1400 FAIRFAX DR,"1,001,852.76","1,267,517.55"
15897 ,Pick up dead animal(s), 12/09/2013, 12/11/2013,CLOSED,604 Hessel Blvd,"1,006,853.68","1,251,323.23"
15898 ,Miscellaneous sewer call, 12/09/2013, 12/11/2013,CLOSED,51 East Chester Street,"1,010,168.38","1,256,194.29"
15899 ,Special project for another department, 12/08/2013, 02/05/2014,CLOSED,82 E UNIVERSITY AVE,"1,010,563.21","1,256,413.35"
15900 ,Sewer backup, 12/07/2013, 12/11/2013,CLOSED,VENTURA RD & CORONADO DR,"1,006,587.20","1,249,179.80"
15901 ,Slick street, 12/07/2013, 12/09/2013,CLOSED,CORONADO DR & W KIRBY AVE,"1,006,582.10","1,249,660.00"
15902 ,Concrete sidewalk repair, 12/09/2013, 01/18/2014,CLOSED,604 RIDGEWOOD CT,"994,584.85","1,254,315.77"
15903 ,Request to repair or replace a generic street sign, 12/09/2013, 12/10/2013,CLOSED,800 DEVONSHIRE DR,"1,006,067.17","1,246,583.34"
15904 ,Slick street, 12/09/2013, 12/09/2013,CLOSED,2315 W JOHN ST,"997,718.88","1,253,607.23"
15905 ,Sewer backup, 12/09/2013, 12/11/2013,CLOSED,1914 WINCHESTER DR,"998,684.61","1,247,582.59"
15906 ,Sewer backup, 12/09/2013, 12/11/2013,CLOSED,3313 RIDGEWOOD DR,"992,838.56","1,254,624.09"
15907 ,Pick up abandoned bicycle(s), 12/09/2013, 12/11/2013,CLOSED,1905 CONVENIENCE PL,"1,009,455.26","1,264,579.75"
15908 ,Tree inspection, 12/09/2013, 12/16/2013,CLOSED,1003 W White St,"1,004,587.78","1,255,503.93"
15909 ,Blade or grade alley, 12/09/2013, 12/11/2013,CLOSED,703 W CHURCH ST,"1,006,217.39","1,256,892.08"
15910 ,Slick street, 12/10/2013, 12/10/2013,CLOSED,307 S RANDOLPH ST,"1,008,710.27","1,255,503.83"
15911 ,Request to repair a burnt out streetlight lamp, 12/10/2013, 12/15/2013,CLOSED,N FIRST ST / E GREEN ST,"1,010,720.80","1,254,073.40"
15912 ,Request to repair a burnt out streetlight lamp, 12/10/2013, 12/11/2013,CLOSED,N SIXTH ST / E WHITE ST,"1,013,029.90","1,255,612.90"
15913 ,Request to repair a burnt out streetlight lamp, 12/10/2013, 12/11/2013,CLOSED,N FIFTH ST / E WHITE ST,"1,012,565.00","1,255,610.50"
15914 ,Slick street, 12/10/2013, 12/10/2013,CLOSED,SUMAC DR / S MATTIS AVE,"1,000,195.20","1,245,076.40"
15915 ,Slick street, 12/10/2013, 12/10/2013,CLOSED,1500 SCOTTSDALE DR,"996,966.62","1,250,030.26"
15916 ,Slick street, 12/10/2013, 12/10/2013,CLOSED,1908 STRATFORD DR,"995,749.16","1,247,854.84"
15917 ,Move/remove furniture from City buildings, 12/10/2013, 12/13/2013,CLOSED,102 N NEIL ST,"1,009,517.05","1,256,347.04"
15918 ,All other traffic service requests, 12/10/2013, 01/10/2014,CLOSED,Cobblefield Rd & W Kirby Ave,"991,387.20","1,249,835.20"
15919 ,All other traffic service requests, 12/10/2013, 03/26/2014,CLOSED,1700 Valley Rd*,"1,007,747.96","1,248,975.80"
15920 ,All other traffic service requests, 12/10/2013, 12/18/2013,CLOSED,Logan St & Water St,"1,010,326.60","1,255,664.00"
15921 ,Slick street, 12/10/2013, 12/10/2013,CLOSED,3301 WILLIAM ST,"993,520.87","1,252,503.37"
15922 ,Request to repair or replace a generic street sign, 12/10/2013, 12/17/2013,CLOSED,CLAYTON RD & W BRADLEY AVE,"997,247.30","1,260,365.80"
15923 ,Slick street, 12/10/2013, 12/11/2013,CLOSED,MEADOW DR & S MATTIS AVE,"1,000,143.40","1,250,327.20"
15924 ,Slick street, 12/11/2013, 12/11/2013,CLOSED,2400 LEEPER DR,"999,294.99","1,244,216.85"
15925 ,Slick street, 12/11/2013, 12/11/2013,CLOSED,700 W JOHN ST,"1,006,428.60","1,253,652.86"
15926 ,Slick street, 12/11/2013, 12/11/2013,CLOSED,800 HAMILTON DR,"1,005,843.06","1,250,580.66"
15927 ,Sewer backup, 12/11/2013, 12/12/2013,CLOSED,1404 W BRADLEY AVE,"1,002,135.05","1,260,378.28"
15928 ,Special project for another section/division, 12/11/2013, 12/13/2013,CLOSED,702 EDGEBROOK DR,"1,006,489.37","1,262,003.43"
15929 ,Heating/air conditioning complaints, 12/11/2013, 12/13/2013,CLOSED,102 N NEIL ST,"1,009,517.05","1,256,347.04"
15930 ,Slick street, 12/11/2013, 12/11/2013,CLOSED,S FOURTH ST & E GREEN ST,"1,012,162.00","1,254,091.00"
15931 ,Slick street, 12/11/2013, 12/11/2013,CLOSED,1200 NORTHWOOD DR N,"1,003,147.76","1,260,559.00"
15932 ,Traffic signal that has lost power or is flashing, 12/11/2013, 12/15/2013,CLOSED,W GREEN ST & N FIRST ST,"1,010,720.80","1,254,073.40"
15933 ,Request to repair or replace a generic street sign, 12/11/2013, 12/17/2013,CLOSED,SHERIDAN DR & ALTON DR,"1,000,859.40","1,252,195.60"
15934 ,TSR from Parking Programs, 12/11/2013, 12/17/2013,CLOSED,300 FREMONT ST,"1,009,562.47","1,256,919.90"
15935 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,1800 MELINDA AVE,"1,002,051.48","1,263,065.05"
15936 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,W DANIEL ST & FAIROAKS DR,"994,635.67","1,253,304.40"
15937 ,Pick up dead animal(s), 12/12/2013, 12/17/2013,CLOSED,HICKORY ST & E COLUMBIA AVE,"1,009,655.20","1,258,036.40"
15938 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,1715 LAKESIDE DR,"1,001,257.14","1,248,722.96"
15939 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,CLOVER LN & BITTERSWEET DR,"999,382.61","1,244,616.07"
15940 ,Special project for another department, 12/12/2013, 02/05/2014,CLOSED,82 E UNIVERSITY AVE,"1,010,563.21","1,256,413.35"
15941 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,W WASHINGTON ST & N RUSSELL ST,"1,002,717.60","1,257,731.20"
15942 ,Request to repair or replace a stop sign, 12/11/2013, 12/15/2013,CLOSED,SHERIDAN DR & ALTON DR,"1,000,859.40","1,252,195.60"
15943 ,Tree inspection, 12/12/2013, 12/13/2013,CLOSED,608 WESTLAWN AVE,"1,001,683.20","1,253,812.20"
15944 ,Pothole repair, 12/12/2013, 12/13/2013,CLOSED,1700 MAYFAIR RD,"1,001,991.42","1,249,033.50"
15945 ,Plumbing repair, 12/12/2013, 12/16/2013,CLOSED,82 E UNIVERSITY AVE,"1,010,563.21","1,256,413.35"
15946 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,1207 NEWBURY RD,"1,003,281.87","1,246,797.63"
15947 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,S EDWIN ST & W SPRINGFIELD AVE,"1,003,049.30","1,254,982.40"
15948 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,2200 BRANCH RD,"998,711.55","1,245,644.18"
15949 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,1503 CHARLES ST,"1,001,753.07","1,252,642.84"
15950 ,Slick street, 12/12/2013, 12/12/2013,CLOSED,2019 GREENDALE DR,"999,024.80","1,250,507.73"
15951 ,Pick up dead animal(s), 12/12/2013, 12/17/2013,CLOSED,606 W SPRINGFIELD AVE,"1,006,875.13","1,255,019.26"
15952 ,Sewer odor, 12/12/2013, 12/31/2013,CLOSED,45 E UNIVERSITY AVE,"1,010,038.15","1,256,139.13"
15953 ,Slick street, 12/12/2013, 12/13/2013,CLOSED,Parkdale Dr Champaign Il,"999,189.99","1,249,430.06"
15954 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,2301 CLOVER LN,"999,308.46","1,245,577.81"
15955 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,MAYWOOD DR & BELMEADE DR,"1,001,939.20","1,251,310.50"
15956 ,Sewer backup, 12/13/2013, 12/17/2013,CLOSED,1716 UNION ST,"1,000,299.12","1,255,381.87"
15957 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,1602 WILLIAM ST,"1,001,216.23","1,252,881.07"
15958 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,706 S LYNN ST,"1,007,175.00","1,253,440.10"
15959 ,Special project for another department, 12/13/2013, 12/13/2013,CLOSED,307 S RANDOLPH ST,"1,008,710.27","1,255,503.83"
15960 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,N STATE ST & E CHURCH ST,"1,008,443.50","1,257,000.00"
15961 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,1900 CLOVER LN,"1,000,299.12","1,255,381.87"
15962 ,Request to repair a burnt out streetlight lamp, 12/13/2013, 12/16/2013,CLOSED,502 E VINE ST,"1,012,621.82","1,258,481.42"
15963 ,Sewer backup, 12/13/2013, 12/17/2013,CLOSED,2912 MAPLEWOOD DR,"995,016.62","1,251,682.93"
15964 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,901 OAKCREST DR,"995,588.96","1,252,874.07"
15965 ,Misc. request/problem involving City facilities, 12/13/2013, 12/16/2013,CLOSED,102 N NEIL ST,"1,009,517.05","1,256,347.04"
15966 ,Pick up miscellaneous debris, 12/13/2013, 12/31/2013,CLOSED,W GREEN ST & S RANDOLPH ST,"1,008,924.60","1,254,051.60"
15967 ,Heating/air conditioning complaints, 12/13/2013, 12/16/2013,CLOSED,102 N NEIL ST,"1,009,517.05","1,256,347.04"
15969 ,Traffic signal that has lost power or is flashing, 12/13/2013, 12/17/2013,CLOSED,S MATTIS AVE / W SPRINGFIELD AVE,"1,000,069.60","1,255,023.10"
15970 ,Traffic signal/sign issues, 12/13/2013, 12/17/2013,CLOSED,409 South Draper Avenue,"1,001,891.16","1,254,676.90"
15971 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,82 E UNIVERSITY AVE,"1,010,563.21","1,256,413.35"
15972 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,208 N FIRST ST,"1,010,758.14","1,256,925.34"
15973 ,Slick street, 12/13/2013, 12/13/2013,CLOSED,503 s.chicago ave,"1,003,712.94","1,254,598.04"
15974 ,Snow & Ice mailbox repair, 12/14/2013, 01/16/2014,CLOSED,1413 KENWOOD RD,"997,453.55","1,250,112.49"
15975 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,2406 PEPPERTREE PL,"997,313.96","1,246,040.26"
15976 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,3807 FREEDOM BLVD,"1,001,013.66","1,237,431.77"
15977 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,501 WILDWOOD CT,"1,000,453.87","1,254,581.18"
15978 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,706 W WASHINGTON ST,"1,006,517.96","1,257,779.29"
15979 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,911 LOCUST ST,"1,010,166.81","1,252,849.62"
15980 ,Signal not cycling properly, 12/14/2013, 12/17/2013,CLOSED,N MATTIS AVE & W ANTHONY DR,"999,897.10","1,266,112.60"
15981 ,Sewer backup, 12/14/2013, 12/16/2013,CLOSED,1813 STRATFORD DR,"995,641.80","1,248,220.10"
15982 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,2507 ALTON DR,"996,992.27","1,251,443.75"
15983 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,2102 EMERALD DR,"986,867.13","1,246,651.94"
15984 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,2608 CHERRY HILLS DR,"995,547.68","1,243,396.16"
15985 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,CHALMERS ST / S SECOND ST,"1,007,049.95","1,257,358.28"
15986 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,403 N LYNN ST,"1,007,049.95","1,257,358.28"
15987 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,907 CENTENNIAL DR,"996,100.77","1,252,696.91"
15988 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,5 ALDER CT,"999,370.53","1,247,665.61"
15989 ,Miscellaneous forestry request, 12/14/2013, 12/16/2013,CLOSED,320 ELMWOOD DR,"1,003,808.87","1,255,107.90"
15990 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,1605 EAGLE RD,"1,001,134.27","1,236,642.21"
15991 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,4000 ABERDEEN DR,"990,589.62","1,252,336.23"
15992 ,Snow & Ice mailbox repair, 12/14/2013, 01/02/2014,CLOSED,2307 MULLIKIN DR,"987,549.91","1,245,371.14"
15993 ,Plow request, 12/14/2013, 12/14/2013,CLOSED,2103 MADISON CT,"1,005,567.53","1,246,330.48"
15994 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,2324 HACKBERRY CT,"998,294.47","1,244,554.56"
15995 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,2614 STILLWATER DR,"1,002,787.48","1,243,220.31"
15996 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,4 HANOVER CT,"1,001,676.21","1,267,212.76"
15997 ,General S&I inquiry or complaint, 12/15/2013, 12/15/2013,CLOSED,1602 SANDPIPER CT,"1,001,357.28","1,246,834.86"
15998 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,2511 Leeper Ct,"999,199.87","1,243,404.48"
15999 ,Slick street, 12/15/2013, 12/15/2013,CLOSED,82 E UNIVERSITY AVE,"1,010,563.21","1,256,413.35"
16000 ,Snow & Ice mailbox repair, 12/15/2013, 01/16/2014,CLOSED,1309 WEATHERVANE DR,"1,002,377.33","1,247,401.92"
16001 ,Request to repair or replace a stop sign, 12/15/2013, 12/17/2013,CLOSED,BARDEEN LN & SHARP DR,"1,007,339.80","1,269,323.68"
16002 ,Snow & Ice mailbox repair, 12/15/2013, 04/03/2014,CLOSED,3810 BOULDER RIDGE DR,"990,768.57","1,261,880.20"
16003 ,General S&I inquiry or complaint, 12/15/2013, 12/15/2013,CLOSED,1216 MIMOSA DR,"1,002,724.01","1,259,533.56"
16004 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,2500 PEMBROOK PT,"1,002,310.66","1,243,613.07"
16005 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,900 ALAGNA DR,"1,003,746.73","1,259,292.61"
16006 ,Repair of sod damaged by snow plow, 12/15/2013, 12/31/2013,CLOSED,3403 CHERRY HILLS DR,"995,792.95","1,239,711.21"
16007 ,General S&I inquiry or complaint, 12/15/2013, 12/15/2013,CLOSED,1505 GREYROCK LN,"992,626.82","1,262,150.30"
16008 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,3400 N MARKET ST,"1,010,575.80","1,270,078.79"
16009 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,2504 WOODRIDGE PL,"997,029.79","1,242,929.37"
16010 ,Snow & Ice mailbox repair, 12/15/2013, 01/02/2014,CLOSED,4408 CROSSGATE DR,"988,405.33","1,247,147.15"
16011 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,705 HAMILTON DR,"1,006,290.81","1,250,405.15"
16012 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,4626 COPPER RIDGE RD,"987,126.13","1,244,871.50"
16013 ,Snow & Ice mailbox repair, 12/15/2013, 01/16/2014,CLOSED,3201 APOLLO DR,"1,012,963.28","1,269,774.50"
16014 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,1106 W DANIEL ST,"1,003,903.62","1,253,396.15"
16015 ,Plow request, 12/15/2013, 12/15/2013,CLOSED,CAMPBELL DR / WELLINGTON DR,,
16016 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,2711 JUDITH DR,"995,800.03","1,249,973.32"
16017 ,Pick up miscellaneous debris, 12/16/2013, 12/23/2013,CLOSED,802 W DANIEL ST,"1,005,865.43","1,253,365.54"
16018 ,Snow & Ice mailbox repair, 12/16/2013, 04/03/2014,CLOSED,1107 KENWOOD RD,"997,438.70","1,251,786.84"
16019 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,306 W EUREKA ST,"1,008,229.82","1,259,699.37"
16020 ,Tree pruning, 12/16/2013, 12/16/2013,CLOSED,409 S DRAPER AVE,"1,001,829.55","1,254,725.82"
16022 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,205 NELSON CT,"1,011,543.25","1,259,091.74"
16023 ,Snow & Ice mailbox repair, 12/16/2013, 01/02/2014,CLOSED,4710 CHESTNUT GROVE DR,"986,865.08","1,249,174.69"
16024 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,3201 CYPRESS CREEK RD,"995,469.68","1,240,989.32"
16025 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1903 ROBERTA LN,"1,001,635.79","1,263,662.46"
16026 ,Manhole has risen above pavement, 12/16/2013, 04/08/2014,CLOSED,2009 FOX DR,"1,007,160.66","1,246,994.50"
16027 ,Water leak, 12/16/2013, 12/27/2013,CLOSED,412 LOUISIANA AVE,"1,007,643.13","1,260,621.38"
16028 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1910 BARBERRY CIR,"999,535.67","1,247,015.14"
16029 ,Snow & Ice mailbox repair, 12/16/2013, 01/16/2014,CLOSED,1912 BELLAMY DR,"1,004,215.98","1,247,256.68"
16030 ,Snow & Ice mailbox repair, 12/16/2013, 01/02/2014,CLOSED,1015 S STALEY RD,"989,399.96","1,252,178.01"
16031 ,Snow & Ice mailbox repair, 12/16/2013, 01/16/2014,CLOSED,501 S DUNCAN RD,"994,769.41","1,254,676.75"
16032 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,407 S CHESTNUT ST,"1,009,689.55","1,254,731.41"
16033 ,Misc. electrical request, 12/16/2013, 12/17/2013,CLOSED,W UNIVERSITY AVE & N RANDOLPH ST,"1,008,909.00","1,256,286.20"
16034 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,S FAIR ST & W JOHN ST,"1,001,197.10","1,253,608.40"
16036 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1910 BARBERRY CIR,"999,535.67","1,247,015.14"
16037 ,General S&I inquiry or complaint, 12/16/2013, 12/16/2013,CLOSED,1621 W UNIVERSITY AVE,"1,000,716.73","1,256,217.66"
16038 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1522 W PARK AVE,"1,001,323.88","1,256,760.45"
16039 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,804 N NEIL ST,"1,009,421.92","1,259,001.85"
16040 ,Snow & Ice mailbox repair, 12/16/2013, 01/02/2014,CLOSED,809 W KIRBY AVE,"1,005,697.93","1,249,544.09"
16041 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1114 WILLIAM ST,"1,003,546.74","1,253,071.85"
16042 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1208 NOFFTZ DR,"997,291.24","1,250,954.31"
16043 ,Snow & Ice mailbox repair, 12/16/2013, 01/16/2014,CLOSED,2603 W KIRBY AVE,"996,552.08","1,249,685.40"
16044 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,708 DOISY LN,"1,005,902.91","1,268,860.03"
16045 ,Snow & Ice mailbox repair, 12/16/2013, 01/16/2014,CLOSED,2505 STILLWATER DR,"1,002,590.84","1,243,709.22"
16046 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1609 CONGRESSIONAL WAY,"1,000,886.89","1,237,821.67"
16047 ,Signal not cycling properly, 12/16/2013, 12/17/2013,CLOSED,COUNTRY FAIR DR & W BRADLEY AVE,"999,117.90","1,260,346.10"
16048 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,E CLARK ST / N STATE ST,"1,008,450.50","1,255,929.50"
16049 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,308 WHEATON AVE,"1,006,095.12","1,255,337.70"
16050 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1220 W CHURCH ST,"1,002,758.46","1,257,110.03"
16051 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,3107 SYLVAN DR,"993,967.05","1,253,015.99"
16052 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,3207 KIMBERLY DR,"993,628.56","1,254,329.13"
16053 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,4305 CRESTON DR,"988,612.92","1,246,415.02"
16054 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1319 WEST RIDGE LN,"989,565.98","1,261,083.23"
16055 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,2703 JUDITH DR,"996,054.51","1,249,971.24"
16056 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,3303 SPRINGVIEW LN,"993,184.23","1,242,301.56"
16057 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,800 W COLUMBIA AVE,"1,006,133.65","1,258,084.36"
16058 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,1201 Charles St,"1,003,318.05","1,252,561.84"
16059 ,Request to repair or replace a generic street sign, 12/16/2013, 12/17/2013,CLOSED,1600 W KIRBY AVE,"1,001,301.17","1,249,718.37"
16060 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,4311 CRESTON DR,"988,427.51","1,246,587.86"
16061 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,WILLOWPARK DR / MAPLEPARK DR,"995,170.60","1,250,570.10"
16062 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,506 W Healey St,"1,007,334.31","1,254,675.78"
16063 ,Plow request, 12/16/2013, 12/16/2013,CLOSED,712 SEDGEGRASS DR,"991,161.82","1,258,333.88"
